id,text
1,"Jangan dong 😢😢🥺😭😔
Plis ya jangan, Roblox 🙏🏻. Itu bagus 😢"
2,Kalau Roblox diblokir semua game juga diblokir gua nggak setuju bukan Roblox yang salah avatarnya yang salah cewek mendingan yang main sus  jir nanti nggak ada Roblox gak seru lagi
3,Aku gak mau roblox di blokir aku jadi mau mabar sama siapa lagi dong aku engga bisa tampa roblox roblox itu paling baik untuk ku
4,yang bikin rblx mau diblokir bukan game nya tapi pengguna yang sus😕
5,Blokir aja gak seru lagi tunggu aku 12 tahun aja baru aku main lagi akkkku janji gak main-main game roblox karena umurku 7 roblox kan kusus 12 tahun
6,😢😢😢 Abang kok Roblox diblokir sih Aku kan masih mau main Roblox Bang Roblox itu game kesukaan aku Aku enggak mau kehilangan Roblox Abang
7,aku egamau robox di hapus😡😡😡😡😡😡😡😡😭😭😭😭😭😭
8,"Roblox, beberapa ada yang negatif dan positif dan kata siapa bilang semua isi game Roblox negatif dan Roblox itu positif Roblox itu baik kata siapa gak baik-baik, kan Roblox itu semua orang random ya terus gak semua orang memakai karakter negatif, lagi pula cuma beberapa orang yang pakai karakter negatif, gak semuanya kebanyakan itu karakter normal untuk yang gak ada Robux dan yang ada robux pun masih normal cuma warna dan rambutnya yang berbeda"
9,"steal a brainrot cringe amat emang jaman? 






ydh hujat aku aja gua aja ga tau kalian siapa LOL."
10,Aku sedih karna kaunku udh kadakuarsa pdhl kau gk apa apain 🗿🗿🗿 sama aku nangis karna kau lagi main tralelo tralalitA ku di maling pdhl aku udh pake server tmnku.......🙁 itu aku cpek dpetinnya tungguin muncul sampe bwr jam jam
11,Aku gak boleh main roblx padahal roblx itu seru jangan lagi 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😢😭😭😭😭😭😭😢😭😢😭😢😢😭😢😭😢aku sedih karena teman taman banyak bilang mau Mabar aku gak boleh ikut karena aku gak ada roboxku sedih banget 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😢😭😢😭😢😭😭😢😭😢😢😭😢😢😭😢😢😭😢😭😢😭😭😭😭😭😭😭
12,Aku bukan anak SD aku mah bentar lagi mau sekolah😢
13,Belokir aja itu bukan Roblox itu gemenya gak baik untuk anak anak lagian aku sama Ustazah aku gak di bolehin
14,"gue kelas 1 SD 👊🏻🤬
Orang aku bisa bedain orang yang jahat mananya orang baik 👊🏻🤬"
15,Bang coba dubbing skibidi toilet-season 22 all episode bang plisss  😭😭😭
16,Akhirnya uplod juga skibidi toilet 62 terima kasih bang tripipel😊
17,Bagus banget yang 0:03  bang lanjut sampai skibidi toilet dihapus😅🗿🗿
18,Nostalgia bngt. aku dlu pernah nonton sibeb thun 2019 sedih bngt nostalgia bngt. Msih kecil bngt gw dlu umur ku dlu 7 thun 😢😢😢🥺🥺🥺🥺🥺🥺💔
19,Minecraft Rewind 2023 Bagus Banget Ampe Kocak Lagi Semoga Rewind 2025 Bagus Lagi Dan Kocak!!!🤯🤯👍👍
20,Keren bet Rewind kali ini ya lewat 5 bulan🗿👊 btw rewind kali ini Keren bet🔥🔥🔥🔥🔥 semoga makin ke tahun Selalu epik mangat🔥🔥🔥🔥🦖
21,"Suka banget walaupun ga diajak 😅 , tapi gapapa soalnya channel ku masih 350 subs jadi wajar btw min jangan lupa ya kalo bisa ajak aku wkwkwkw. bagus 😎👍 10/10 lebih baik dari tahun lalu"
22,"Merinding broo, GG keren abizzzz👏👏👏👏👏👏"
23,"sorry to say, ini video minecraft rewind terbaik menurut gw, ini video gila sih 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥"
24,"Ini keren abis sumpah semua youtuber pasti suka ama video rewind minecraft ini sumpah ini animatornya keren sumpah dari semua video juga semua orang dan youtuber pasti suka film ini dan saya juga suka soal nya banyak yang aku kenal mereka seperti windah, jundy, clay, lily, teguh, kesper, dan lain-lainnya walaupun aku gak tau semua tapi ini video mantep banget kaya di move gitu di bioskop ya mudahan youtube rewind 2024 buat video lebih seru lagi dan buat youtuber pada happy gitu jadi bye"
25,"Rewind Minecraft 2023 the best bangett sumpahhhh vibes 2023 nya kebawaa bangett sound nyaa samaaa animasi nyaa jugaa baguss bangett, terima kasihh untukk animator animator seluruh Indonesia udahh bikin rewind ini gg bangett sumpahhhh"
26,"GILAAAA KERENNNN PARAHHH!! rueh nonton bareng ruizen, terkejut terkaget kaget tersepona nonton sampe kredit abis, BGM nya kane parah anjirrr, animasinya kece badai UWAAAAAA, gelaaa ditunggu rewind selanjutnya shhh AOWKOWKOWK ngakak sampe abis 
semoga seluruh staff dan semua yang terlibat dalam pembuatan video ini diberikan kesehatan serta rahmat dan hidayah nyaa biar tetep hidup sampe rewind selanjutnya aaamiiinnnn"
27,"Ya sama gua juga,bini gua imut kiyut..klo ada gua lemah,serba minta tolong,,eh pas lagi beres beres rumah trus gua kluar sebntar,tiba tiba lembari kamer gua geser dong,pas di tanya,sama siapa,sama aku katanya 🗿"
28,"Aneh bgt.. ini editan gak siy !
Ngangkat aqua galon masa enteng bgt bgitu kiri nya gas lg.. 😮 galon nya aja udah berat bgt itu.. Gak percaya gw"
29,kelas bang konten lu full daging🔥
30,"gw sering cuy ngeliat orang pake capcut dan pake suara itu tapi pas gw udah simpen tu suara ko gaada ya di capcut, 🗿"
31,Gua pake ini bulan Desember kemarin waktu Training Trainer Multimedia untuk program Dual Track provinsi Kalimantan Timur. Tapi ini tidak dianjurkan untuk voice dalam video cinematic karena dia ga bisa seperti manusia yang bisa menggunakan nada saat berbicara.
32,ai semakin meresahkan kalau dibuat untuk membuat rekaman hoax nantinya.. ai semakin canggih soalnya. bisa bisa hanya dengan suara bisa memecah belah bangsa
33,"Gak bisa kalo mau yg gratis, harus bayar alias langganan utk menggunakan apk ini. Itu admin pasti pake yg bebayar/langganan. Jadi jangan bikin konten cuma PHP doang😅"
34,Mudah2an penipu telkom*el gatau ilmu ini wkwkwkkw nanti dia coba tipu2 pake give away lagi. 😂😂😂
35,Ini nih tukang HOAX pasti suka nih yang kek beginian buat konten pembodohan di medsos 😂😂😂
36,"Songong banget muka si Gibran, gak sopan banget cara ngomong sama org tua.😡😡"
37,"Cerdas sekali mas gibran, cocok banget jadi wakil presiden pak prabowo, suatu saat nanti pas mas gibran bisa menjadi presiden amin ya Alloh🤲🙏☺"
38,lah dari zaman ke jaman ttp aja awal bacot awal mau jadi presiden .. gak bakal terlaksana semua .. dalih dalih dalih .. sampe kapan selalu kalimat seperti itu di jadikan angin segar dan wewangian dunia untuk jadi pemimpin
39,Green FLATION pak  prof  tidak bisa  jawab  bahkan green flation  itu ada kaitannya dengan perekonomian  .  Ekonomi hijau   . Saya hanya tamatan sma tapi saya belajar  pengetahuan  umum  .
40,"Kata2 dr Anis sangat pintar tp tdk beretika,saling menjatuhkan yg membuat sy putar haluan dr pak Anis.
Majulah tanpa saling menjatuhkan.
Skrg sdh terbukti siapa yg pantas menjadi pemimpin negara ini.
Sorry yeee"
41,Anis anis anisss...sumpah lu org yg paling gak tau malu dan gak tau berterima kasih....lu di kenal banyak org krn prabowo tp lu malah mau menjelekkan dan menjatuhkan org yg pernah mengangkat lu..sumpah gua paling najis dan jijik lihat org kyk si anis ini
42,Aku hanya benci saling memaki kata2 saling menyerang dan menjatuhkan. Sekali saja liat debat dan tdk lihat lagi.  Lain kali sebaiknya kampanye tanpa debat lebih saya harapkan. Aku berharap pk prabowo 3x aku menjagokan pk semoga menang
43,"Wakil yg sangat prihatin kan tp anehnya bisa menang.... Pengaruh buzzer dan mafia politik sangat kuat, kedepan semoga saja rakyat bisa lebih cerdas memilih presiden dan wakil presiden yg lebih kompeten..."
44,Ingat ya guys..!! BuzzeRp (para penjilat Rezim) ada itu semenjak Mœljono menjadi Lurah di Negeri Konoha dengan cara2 yang licik & curang (terstruktur & sistematis).. 🤣🤣🤣
45,"Pertanyaan receh gak perlu di jawab apa emang bener2 gak bisa jawab?

Pak Mahfud, yuk kita buktikan di 14.02.24, saya yakin 03 cuma dapat 20% (kalau gak ada kecurangan dari PDIP) 😂😂😂😂😂😂

All in PRABOWO-GIBRAN ✌✌✌✌✌✌✌"
46,Masyarakat mampu membuat penilaian secara objektif hal2 yg dilihat didengar dan dirasakan dilengkapi dgn pengetahuan dan pengalaman hidup. Selanjutnya tidak perlu lagi menggiring opini yg ada dimasyarakat lewat cuitan/teriakan bolo nya. Mohon maaf klo salah !!!!!
47,"W yg masih muda ogah bgt di wakilkan gibran yg mengatas namakan generasi muda 😤
Malu w liat kelakuan sunggokong yg kebanyakan minum asam sulfat 🤣"
48,bilang aja gak bisa jawab🤣🤣
